"Based on these 3 tables, fill in column Seller area, Buyer area, Buyer in Urban/Rural, Route and estimated shipping fee",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Table 1: Area and Urban/Rural definition,,,,,,,,,,,,,,,
state,city,urban_rural,area,,Table 2: Route definition,,,,,,,,,,
Bình Thu?n,Huy?n Tuy Phong,Rural,Central area,,,,,,,,,,,,
Cà Mau,Thành Ph? Cà Mau,Urban,Southern area,,,,,,,,,,,,
Cà Mau,Huy?n Cái N??c,Rural,Southern area,,,,,,,,,,,,
Cà Mau,Huy?n ??m D?i,Rural,Southern area,,,,,,,,,,,,
Cà Mau,Huy?n N?m C?n,Rural,Southern area,,,,,,,,,,,,
Cà Mau,Huy?n Ng?c Hi?n,Rural,Southern area,,,,,,,,,,,,
Cà Mau,Huy?n Phú Tân,Rural,Southern area,,,,,,,,,,,,
Cà Mau,Huy?n Th?i Bình,Rural,Southern area,,,,,,,,,,,,
Cà Mau,Huy?n Tr?n V?n Th?i,Rural,Southern area,,,,,,,,,,,,
Cà Mau,Huy?n U Minh,Rural,Southern area,,,,,,,,,,,,
C?n Th?,Huy?n C? ??,Rural,Southern area,,,,,,,,,,,,
C?n Th?,Huy?n Phong ?i?n,Rural,Southern area,,,,,,,,,,,,
C?n Th?,Huy?n Th?i Lai,Rural,Southern area,,,,,,,,,,,,
C?n Th?,Huy?n V?nh Th?nh,Rural,Southern area,,,,,,,,,,,,
C?n Th?,Qu?n Ninh Ki?u,Urban,Southern area,,,,,,,,,,,,
C?n Th?,Qu?n Bình Th?y,Urban,Southern area,,,,,,,,,,,,
C?n Th?,Qu?n Cái R?ng,Urban,Southern area,,,,,,,,,,,,
C?n Th?,Qu?n Ô Môn,Urban,Southern area,,,,,,,,,,,,
C?n Th?,Qu?n Th?t N?t,Urban,Southern area,,,,,,,,,,,,
Cao B?ng,Thành Ph? Cao B?ng,Urban,Northern area,,,,,,,,,,,,
Cao B?ng,Huy?n B?o L?c,Rural,Northern area,,,,,,,,,,,,
Cao B?ng,Huy?n B?o Lâm,Rural,Northern area,,,,,,,,,,,,
Cao B?ng,Huy?n H? Lang,Rural,Northern area,,,,,,,,,,,,
Cao B?ng,Huy?n Hà Qu?ng,Rural,Northern area,,,,,,,,,,,,
Cao B?ng,Huy?n Hòa An,Rural,Northern area,,,,,,,,,,,,
Cao B?ng,Huy?n Nguyên Bình,Rural,Northern area,,,,,,,,,,,,
Cao B?ng,Huy?n Ph?c Hòa,Rural,Northern area,,,,,,,,,,,,
Cao B?ng,Huy?n Qu?ng Uyên,Rural,Northern area,,,,,,,,,,,,
Cao B?ng,Huy?n Th?ch An,Rural,Northern area,,,,,,,,,,,,
Cao B?ng,Huy?n Thông Nông,Rural,Northern area,,,,,,,,,,,,
Cao B?ng,Huy?n Trà L?nh,Rural,Northern area,,,,,,,,,,,,
Cao B?ng,Huy?n Trùng Khánh,Rural,Northern area,,,,,,,,,,,,
?à N?ng,Qu?n H?i Châu,Urban,?N,,,,,,,,,,,,
?à N?ng,Qu?n Thanh Khê,Urban,?N,,,,,,,,,,,,
?à N?ng,Qu?n S?n Trà,Urban,?N,,,,,,,,,,,,
?à N?ng,Qu?n Ng? Hành S?n,Urban,?N,,,,,,,,,,,,
?à N?ng,Qu?n Liên Chi?u,Urban,?N,,,,,,,,,,,,
?à N?ng,Qu?n C?m L?,Urban,?N,,,,,,,,,,,,
?à N?ng,Huy?n Hòa Vang,Rural,?N,,,,,,,,,,,,
??k L?k,Thành Ph? Buôn Ma Thu?t,Urban,Central area,,,,,,,,,,,,
??k L?k,Huy?n Buôn ?ôn,Rural,Central area,,,,,,,,,,,,
??k L?k,Huy?n C? Kuin,Rural,Central area,,,,,,,,,,,,
??k L?k,Huy?n C? M'Gar,Rural,Central area,,,,,,,,,,,,
??k L?k,Huy?n Ea H'Leo,Rural,Central area,,,,,,,,,,,,
??k L?k,Huy?n Ea Kar,Rural,Central area,,,,,,,,,,,,
??k L?k,Huy?n Ea Súp,Rural,Central area,,,,,,,,,,,,
??k L?k,Huy?n Krông A Na,Rural,Central area,,,,,,,,,,,,
??k L?k,Huy?n Krông Bông,Rural,Central area,,,,,,,,,,,,
??k L?k,Huy?n Krông Búk,Rural,Central area,,,,,,,,,,,,
??k L?k,Th? Xã Buôn H?,Rural,Central area,,,,,,,,,,,,
??k L?k,Huy?n Krông N?ng,Rural,Central area,,,,,,,,,,,,
??k L?k,Huy?n Krông P?k,Rural,Central area,,,,,,,,,,,,
??k L?k,Huy?n L?k,Rural,Central area,,,,,,,,,,,,
??k L?k,Huy?n M'?r?k,Rural,Central area,,,,,,,,,,,,
??k Nông,Huy?n C? Jút,Rural,Central area,,,,,,,,,,,,
??k Nông,Huy?n ??k Glong,Rural,Central area,,,,,,,,,,,,
??k Nông,Huy?n ??k Mil,Rural,Central area,,,,,,,,,,,,
??k Nông,Th? Xã Gia Ngh?a,Rural,Central area,,,,,,,,,,,,
??k Nông,Huy?n ??k Rl?p,Rural,Central area,,,,,,,,,,,,
??k Nông,Huy?n ??k Song,Rural,Central area,,,,,,,,,,,,
??k Nông,Huy?n Krông Nô,Rural,Central area,,,,,,,,,,,,
??k Nông,Huy?n Tuy ??c,Rural,Central area,,,,,,,,,,,,
?i?n Biên,Thành Ph? ?i?n Biên Ph?,Urban,Northern area,,,,,,,,,,,,
?i?n Biên,Huy?n ?i?n Biên,Rural,Northern area,,,,,,,,,,,,
?i?n Biên,Huy?n ?i?n Biên ?ông,Rural,Northern area,,,,,,,,,,,,
?i?n Biên,Huy?n M??ng Áng,Rural,Northern area,,,,,,,,,,,,
?i?n Biên,Huy?n M??ng Chà,Rural,Northern area,,,,,,,,,,,,
?i?n Biên,Huy?n M??ng Nhé,Rural,Northern area,,,,,,,,,,,,
?i?n Biên,Huy?n N?m P?,Rural,Northern area,,,,,,,,,,,,
?i?n Biên,Huy?n T?a Chùa,Rural,Northern area,,,,,,,,,,,,
?i?n Biên,Th? Xã M??ng Lay,Rural,Northern area,,,,,,,,,,,,
?i?n Biên,Huy?n Tu?n Giáo,Rural,Northern area,,,,,,,,,,,,
??ng Nai,Thành Ph? Biên Hòa,Urban,Southern area,,,,,,,,,,,,
??ng Nai,Huy?n C?m M?,Rural,Southern area,,,,,,,,,,,,
??ng Nai,Huy?n ??nh Quán,Rural,Southern area,,,,,,,,,,,,
??ng Nai,Huy?n Long Thành,Rural,Southern area,,,,,,,,,,,,
??ng Nai,Huy?n Nh?n Tr?ch,Rural,Southern area,,,,,,,,,,,,
??ng Nai,Huy?n Tân Phú,Rural,Southern area,,,,,,,,,,,,
??ng Nai,Huy?n Th?ng Nh?t,Rural,Southern area,,,,,,,,,,,,
??ng Nai,Huy?n Tr?ng Bom,Rural,Southern area,,,,,,,,,,,,
??ng Nai,Huy?n V?nh C?u,Rural,Southern area,,,,,,,,,,,,
??ng Nai,Th? Xã Long Khánh,Urban,Southern area,,,,,,,,,,,,
??ng Nai,Huy?n Xuân L?c,Rural,Southern area,,,,,,,,,,,,
??ng Tháp,Thành Ph? Cao Lãnh,Urban,Southern area,,,,,,,,,,,,
??ng Tháp,Huy?n Cao Lãnh,Rural,Southern area,,,,,,,,,,,,
??ng Tháp,Huy?n Châu Thành,Rural,Southern area,,,,,,,,,,,,
??ng Tháp,Huy?n H?ng Ng?,Rural,Southern area,,,,,,,,,,,,
??ng Tháp,Huy?n Lai Vung,Rural,Southern area,,,,,,,,,,,,
??ng Tháp,Thành Ph? Sa ?éc,Urban,Southern area,,,,,,,,,,,,
??ng Tháp,Huy?n L?p Vò,Rural,Southern area,,,,,,,,,,,,
??ng Tháp,Huy?n Tam Nông,Rural,Southern area,,,,,,,,,,,,
??ng Tháp,Huy?n Tân H?ng,Rural,Southern area,,,,,,,,,,,,
??ng Tháp,Huy?n Thanh Bình,Rural,Southern area,,,,,,,,,,,,
??ng Tháp,Huy?n Tháp M??i,Rural,Southern area,,,,,,,,,,,,
??ng Tháp,Th? Xã H?ng Ng?,Rural,Southern area,,,,,,,,,,,,
Gia Lai,Thành Ph? Pleiku,Urban,Central area,,,,,,,,,,,,
Gia Lai,Huy?n Ch? P?h,Rural,Central area,,,,,,,,,,,,
Gia Lai,Huy?n Ch? Prông,Rural,Central area,,,,,,,,,,,,
Gia Lai,Huy?n Ch? P?h,Rural,Central area,,,,,,,,,,,,
Gia Lai,Huy?n Ch? Sê,Rural,Central area,,,,,,,,,,,,
Gia Lai,Huy?n ??k ?oa,Rural,Central area,,,,,,,,,,,,
Gia Lai,Huy?n ??k P?,Rural,Central area,,,,,,,,,,,,
Gia Lai,Huy?n ??c C?,Rural,Central area,,,,,,,,,,,,
Gia Lai,Huy?n Ia Grai,Rural,Central area,,,,,,,,,,,,
Gia Lai,Huy?n Ia Pa,Rural,Central area,,,,,,,,,,,,
Gia Lai,Th? Xã Ayun Pa,Rural,Central area,,,,,,,,,,,,
Gia Lai,Huy?n Kbang,Rural,Central area,,,,,,,,,,,,
Gia Lai,Th? Xã An Khê,Rural,Central area,,,,,,,,,,,,
Gia Lai,Huy?n Kông Chro,Rural,Central area,,,,,,,,,,,,
Gia Lai,Huy?n Krông Pa,Rural,Central area,,,,,,,,,,,,
Gia Lai,Huy?n Mang Yang,Rural,Central area,,,,,,,,,,,,
Gia Lai,Huy?n Phú Thi?n,Rural,Central area,,,,,,,,,,,,
Hà Giang,Thành Ph? Hà Giang,Urban,Northern area,,,,,,,,,,,,
Hà Giang,Huy?n B?c Mê,Rural,Northern area,,,,,,,,,,,,
Hà Giang,Huy?n B?c Quang,Rural,Northern area,,,,,,,,,,,,
Hà Giang,Huy?n ??ng V?n,Rural,Northern area,,,,,,,,,,,,
Hà Giang,Huy?n Hoàng Su Phì,Rural,Northern area,,,,,,,,,,,,
Hà Giang,Huy?n Mèo V?c,Rural,Northern area,,,,,,,,,,,,
Hà Giang,Huy?n Qu?n B?,Rural,Northern area,,,,,,,,,,,,
Hà Giang,Huy?n Quang Bình,Rural,Northern area,,,,,,,,,,,,
Hà Giang,Huy?n V? Xuyên,Rural,Northern area,,,,,,,,,,,,
Hà Giang,Huy?n Xín M?n,Rural,Northern area,,,,,,,,,,,,
Hà Giang,Huy?n Yên Minh,Rural,Northern area,,,,,,,,,,,,
Hà Nam,Th? Xã Ph? Lý,Urban,Northern area,,,,,,,,,,,,
Hà Nam,Huy?n Bình L?c,Rural,Northern area,,,,,,,,,,,,
Hà Nam,Huy?n Duy Tiên,Rural,Northern area,,,,,,,,,,,,
Hà Nam,Huy?n Kim B?ng,Rural,Northern area,,,,,,,,,,,,
Hà Nam,Huy?n Lý Nhân,Rural,Northern area,,,,,,,,,,,,
Hà Nam,Huy?n Thanh Liêm,Rural,Northern area,,,,,,,,,,,,
Hà N?i,Qu?n Hà ?ông,Urban,HN,,,,,,,,,,,,
Hà N?i,Qu?n B?c T? Liêm,Urban,HN,,,,,,,,,,,,
Hà N?i,Qu?n Ba ?ình,Urban,HN,,,,,,,,,,,,
Hà N?i,Qu?n C?u Gi?y,Urban,HN,,,,,,,,,,,,
Hà N?i,Qu?n ??ng ?a,Urban,HN,,,,,,,,,,,,
Hà N?i,Qu?n Hai Bà Tr?ng,Urban,HN,,,,,,,,,,,,
Hà N?i,Qu?n Hoàn Ki?m,Urban,HN,,,,,,,,,,,,
Hà N?i,Qu?n Hoàng Mai,Urban,HN,,,,,,,,,,,,
Hà N?i,Qu?n Long Biên,Urban,HN,,,,,,,,,,,,
Hà N?i,Qu?n Tây H?,Urban,HN,,,,,,,,,,,,
Hà N?i,Qu?n Thanh Xuân,Urban,HN,,,,,,,,,,,,
Hà N?i,Huy?n Ba Vì,Rural,HN,,,,,,,,,,,,
Hà N?i,Huy?n Ch??ng M?,Rural,HN,,,,,,,,,,,,
Hà N?i,Huy?n ?an Ph??ng,Rural,HN,,,,,,,,,,,,
Hà N?i,Huy?n ?ông Anh,Rural,HN,,,,,,,,,,,,
Hà N?i,Huy?n Gia Lâm,Rural,HN,,,,,,,,,,,,
Hà N?i,Th? Xã S?n Tây,Rural,HN,,,,,,,,,,,,
Hà N?i,Qu?n Nam T? Liêm,Urban,HN,,,,,,,,,,,,
Hà N?i,Huy?n Hoài ??c,Rural,HN,,,,,,,,,,,,
Hà N?i,Huy?n Mê Linh,Rural,HN,,,,,,,,,,,,
Hà N?i,Huy?n M? ??c,Rural,HN,,,,,,,,,,,,
Hà N?i,Huy?n Phú Xuyên,Rural,HN,,,,,,,,,,,,
Hà N?i,Huy?n Phúc Th?,Rural,HN,,,,,,,,,,,,
Hà N?i,Huy?n Qu?c Oai,Rural,HN,,,,,,,,,,,,
Hà N?i,Huy?n Sóc S?n,Rural,HN,,,,,,,,,,,,
Hà N?i,Huy?n Th?ch Th?t,Rural,HN,,,,,,,,,,,,
Hà N?i,Huy?n Thanh Oai,Rural,HN,,,,,,,,,,,,
Hà N?i,Huy?n Thanh Trì,Rural,HN,,,,,,,,,,,,
Hà N?i,Huy?n Th??ng Tín,Rural,HN,,,,,,,,,,,,
Hà N?i,Huy?n ?ng Hòa,Rural,HN,,,,,,,,,,,,
Hà T?nh,Thành Ph? Hà T?nh,Urban,Central area,,,,,,,,,,,,
Hà T?nh,Huy?n C?m Xuyên,Rural,Central area,,,,,,,,,,,,
Hà T?nh,Huy?n Can L?c,Rural,Central area,,,,,,,,,,,,
Hà T?nh,Huy?n ??c Th?,Rural,Central area,,,,,,,,,,,,
Hà T?nh,Huy?n H??ng Khê,Rural,Central area,,,,,,,,,,,,
Hà T?nh,Huy?n H??ng S?n,Rural,Central area,,,,,,,,,,,,
Hà T?nh,Th? Xã H?ng L?nh,Rural,Central area,,,,,,,,,,,,
Hà T?nh,Huy?n K? Anh,Rural,Central area,,,,,,,,,,,,
Hà T?nh,Huy?n L?c Hà,Rural,Central area,,,,,,,,,,,,
Hà T?nh,Huy?n Nghi Xuân,Rural,Central area,,,,,,,,,,,,
Hà T?nh,Huy?n Th?ch Hà,Rural,Central area,,,,,,,,,,,,
Hà T?nh,Th? Xã K? Anh,Rural,Central area,,,,,,,,,,,,
Hà T?nh,Huy?n V? Quang,Rural,Central area,,,,,,,,,,,,
H?i D??ng,Huy?n Bình Giang,Rural,Northern area,,,,,,,,,,,,
H?i D??ng,Thành Ph? H?i D??ng,Urban,Northern area,,,,,,,,,,,,
H?i D??ng,Huy?n C?m Giàng,Rural,Northern area,,,,,,,,,,,,
H?i D??ng,Huy?n Gia L?c,Rural,Northern area,,,,,,,,,,,,
H?i D??ng,Huy?n Kim Thành,Rural,Northern area,,,,,,,,,,,,
H?i D??ng,Huy?n Kinh Môn,Rural,Northern area,,,,,,,,,,,,
H?i D??ng,Huy?n Nam Sách,Rural,Northern area,,,,,,,,,,,,
H?i D??ng,Huy?n Ninh Giang,Rural,Northern area,,,,,,,,,,,,
H?i D??ng,Huy?n Thanh Hà,Rural,Northern area,,,,,,,,,,,,
H?i D??ng,Huy?n Thanh Mi?n,Rural,Northern area,,,,,,,,,,,,
H?i D??ng,Huy?n T? K?,Rural,Northern area,,,,,,,,,,,,
H?i D??ng,Th? Xã Chí Linh,Urban,Northern area,,,,,,,,,,,,
H?i Phòng,Qu?n Ngô Quy?n,Urban,Northern area,,,,,,,,,,,,
H?i Phòng,Qu?n Lê Chân,Urban,Northern area,,,,,,,,,,,,
H?i Phòng,Qu?n Ki?n An,Urban,Northern area,,,,,,,,,,,,
H?i Phòng,Qu?n H?i An,Urban,Northern area,,,,,,,,,,,,
H?i Phòng,Qu?n H?ng Bàng,Urban,Northern area,,,,,,,,,,,,
H?i Phòng,Qu?n ?? S?n,Urban,Northern area,,,,,,,,,,,,
H?i Phòng,Huy?n An D??ng,Rural,Northern area,,,,,,,,,,,,
H?i Phòng,Qu?n D??ng Kinh,Urban,Northern area,,,,,,,,,,,,
H?i Phòng,Huy?n An Lão,Rural,Northern area,,,,,,,,,,,,
H?i Phòng,Huy?n ??o B?ch Long V?,Rural,Northern area,,,,,,,,,,,,
H?i Phòng,Huy?n ??o Cát H?i,Rural,Northern area,,,,,,,,,,,,
H?i Phòng,Huy?n Ki?n Th?y,Rural,Northern area,,,,,,,,,,,,
H?i Phòng,Huy?n Th?y Nguyên,Rural,Northern area,,,,,,,,,,,,
H?i Phòng,Huy?n Tiên Lãng,Rural,Northern area,,,,,,,,,,,,
H?i Phòng,Huy?n V?nh B?o,Rural,Northern area,,,,,,,,,,,,
H?u Giang,Th? Xã Long M?,Rural,Southern area,,,,,,,,,,,,
H?u Giang,Thành Ph? V? Thanh,Urban,Southern area,,,,,,,,,,,,
H?u Giang,Th? Xã Ngã B?y,Rural,Southern area,,,,,,,,,,,,
H?u Giang,Huy?n Châu Thành,Rural,Southern area,,,,,,,,,,,,
H?u Giang,Huy?n Châu Thành A,Rural,Southern area,,,,,,,,,,,,
H?u Giang,Huy?n Long M?,Rural,Southern area,,,,,,,,,,,,
H?u Giang,Huy?n Ph?ng Hi?p,Rural,Southern area,,,,,,,,,,,,
H?u Giang,Huy?n V? Th?y,Rural,Southern area,,,,,,,,,,,,
TP. H? Chí Minh,Qu?n 1,Urban,HCM,,,,,,,,,,,,
TP. H? Chí Minh,Qu?n 2,Urban,HCM,,,,,,,,,,,,
TP. H? Chí Minh,Qu?n 3,Urban,HCM,,,,,,,,,,,,
TP. H? Chí Minh,Qu?n 4,Urban,HCM,,,,,,,,,,,,
TP. H? Chí Minh,Qu?n 5,Urban,HCM,,,,,,,,,,,,
TP. H? Chí Minh,Qu?n 6,Urban,HCM,,,,,,,,,,,,
TP. H? Chí Minh,Qu?n 7,Urban,HCM,,,,,,,,,,,,
TP. H? Chí Minh,Qu?n 8,Urban,HCM,,,,,,,,,,,,
TP. H? Chí Minh,Qu?n 9,Urban,HCM,,,,,,,,,,,,
TP. H? Chí Minh,Qu?n 10,Urban,HCM,,,,,,,,,,,,
TP. H? Chí Minh,Qu?n 11,Urban,HCM,,,,,,,,,,,,
TP. H? Chí Minh,Qu?n 12,Urban,HCM,,,,,,,,,,,,
TP. H? Chí Minh,Qu?n Tân Bình,Urban,HCM,,,,,,,,,,,,
TP. H? Chí Minh,Qu?n Tân Phú,Urban,HCM,,,,,,,,,,,,
TP. H? Chí Minh,Qu?n Phú Nhu?n,Urban,HCM,,,,,,,,,,,,
TP. H? Chí Minh,Qu?n Bình Tân,Urban,HCM,,,,,,,,,,,,
